ID, me,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
112523,"Philip John ""Phil"" Smyth",M,26,183,80,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball, 
13808,Konstantinos Botasis,M,,,,Athens-2,GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football, 
47459,Elsa Josefina Eugenia Hellquist,F,37,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Women's Foil, Individual", 
4125,Hans Edmund Andresen,M,20,,,Denmark,DEN,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres", 
62613,Sami Kooheji,M,20,177,82,Bahrain,BRN,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed One Person Dinghy, 
103244,Igor Aleksandrovich Rudakov,M,25,187,98,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Pairs,Silver
60668,Michaela Kirchgasser,F,24,169,62,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined, 
69434,Li Li,F,17,149,39,China,CHN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around, 
17331,Jakob Caironi,M,26,,,Switzerland,SUI,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team", 
104579,Albert Sala Moreno,M,27,185,79,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
107962,Terrence J. Scook,M,25,160,51,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights, 
96335,Franz Portmann,M,32,,,Canada,CAN,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres, 
34166,Sloane Elmo Farrington,M,25,187,95,Gem II,GBR,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed Two Person Keelboat, 
133462,Yun Gyeong-Min,M,24,193,80,South Korea,KOR,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball, 
89195,Ayumi Onodera-Ogasawara,F,23,156,51,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling, 
13123,Catherine Louise Bond-Mills,F,24,183,67,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon, 
47930,Jnis Hermanis,M,23,186,80,Latvia,LAT,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres, 
37098,Andrew Freshwater,M,24,,,Great Britain,GBR,1998 Winter,1998,Winter, gano,Alpine Skiing,Alpine Skiing Men's Downhill, 
27801,Robert Y. Desjarlais,M,40,,,Canada,CAN,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team", 
111420,Marina Sisoyeva,F,19,150,48,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Flyweight, 
74295,Laure Manaudou,F,17,180,69,France,FRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Freestyle,Gold
129964,John Thomas Whitaker,M,22,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around, 
27211,Steve Delaup,M,19,170,58,France,FRA,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team", 
11554,Jaroslav Bm,M,25,171,65,Czechoslovakia,TCH,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horse Vault, 
127086,"Kathleen ""Kathy"" Vogt (-Gregg)",F,16,165,57,Canada,CAN,1976 Winter,1976,Winter,Innsbruck,Speed Skating,Speed Skating Women's 500 metres, 
78393,"Maria Wilhelmina Johanna ""Mirjam"" Melchers-van Poppel",F,28,175,60,Netherlands,NED,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual", 
31656,Andreas Ehrig,M,20,183,75,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,500 metres", 
46744,Albeta Havrankov,F,28,167,63,Czechoslovakia,TCH,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres, 
26196,"Adrianus Egbert Willem ""Arie"" de Jong",M,41,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Team", 
109946,Darya Mikhaylovna Shmelyova,F,21,164,64,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,Silver
14170,Michel Boutard,M,24,169,59,France,FRA,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Individual All-Around, 
130523,Patrick Willems,M,30,193,87,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Double Sculls, 
98306,Mohamed Khaldoun Ragheb,M,41,,,Syria,SYR,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet, 
54282,Margaret H. Jenkins,F,29,167,59,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's Discus Throw, 
121230,"John ""Jack"" Torrance",M,24,190,138,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Shot Put, 
110396,Hannu Juhani Siitonen,M,27,183,87,Finland,FIN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Javelin Throw,Silver
70296,Thomas Linemayr,M,19,196,89,Austria,AUT,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Pairs, 
29623,Kurt Dossin,M,23,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Handball,Handball Men's Handball,Gold
77162,Adam Henryk Maysz,M,20,170,55,Poland,POL,1998 Winter,1998,Winter, gano,Ski Jumping,"Ski Jumping Men's Large Hill, Team", 
118030,Masao Takemoto,M,32,160,56,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse, 
86980,Carl Dwayne Norris,M,24,178,82,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
69124,"Stanley Allen ""Stan"" Levenson",M,18,,,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay, 
125156,Benjam Vanninen,M,26,,,Finland,FIN,1948 Winter,1948,Winter,Sankt Moritz,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
80646,Noriyasu Mizukami,M,28,172,61,Japan,JPN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Marathon, 
70478,Ghenadie Lisoconi,M,31,174,74,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres", 
102186,Georges-Joseph Jean Baptiste Rolot,M,22,,,France,FRA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay, 
72663,"John Joseph Lyons, Jr.",M,23,,,United States,USA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
63022,Konstantinos Koskinas,M,21,,,Greece,GRE,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Butterfly, 
47031,Cariola Hechavarra Garca,F,24,180,70,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball, 
